"Season","League","BBRef_Team_Name","BBRef_Team_Abbreviation","Current_BBRef_Team_Name","Current_BBRef_Team_Abbreviation","ESPN_Current_Link_ID","NBA_Current_Link_ID","Spotrac_Current_Link_ID"
2008,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
2007,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
2006,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
2005,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
2004,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
2003,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
2002,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
2001,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
2000,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1999,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1998,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1997,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1996,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1995,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1994,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1993,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1992,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1991,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1990,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1989,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1988,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1987,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1986,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1985,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1984,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1983,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1982,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1981,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1980,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1979,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1978,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1977,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1976,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1975,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1974,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1973,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1972,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1971,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1970,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1969,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
1968,"NBA","Phoenix Suns","PHO","Phoenix Suns","PHO","PHX",1610612756,"phoenix-suns"
2019,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2018,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2017,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2016,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2015,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2014,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2013,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2012,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2011,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2010,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2009,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2008,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2007,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2006,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2005,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2004,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2003,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2002,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2001,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2000,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1999,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1998,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1997,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1996,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1995,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1994,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1993,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1992,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1991,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1990,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1989,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1988,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1987,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1986,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1985,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1984,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1983,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1982,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1981,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1980,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1979,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1978,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1977,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1976,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1975,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1974,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1973,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1972,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1971,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
1970,"NBA","Portland Trail Blazers","POR","Portland Trail Blazers","POR","POR",1610612757,"portland-trail-blazers"
2019,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2018,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2017,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2016,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2015,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2014,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2013,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2012,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2011,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2010,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2009,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2008,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2007,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2006,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2005,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2004,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2003,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2002,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2001,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2000,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1999,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1998,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1997,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1996,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1995,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1994,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1993,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1992,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1991,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1990,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1989,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1988,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1987,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1986,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1985,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1984,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1983,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1982,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1981,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1980,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1979,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1978,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1977,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1976,"NBA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1975,"ABA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1974,"ABA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1973,"ABA","San Antonio Spurs","SAS","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1972,"ABA","Dallas Chaparrals","DLC","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1971,"ABA","Dallas Chaparrals","DLC","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1970,"ABA","Dallas Chaparrals","DLC","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1969,"ABA","Dallas Chaparrals","DLC","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1968,"ABA","Dallas Chaparrals","DLC","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
1967,"ABA","Dallas Chaparrals","DLC","San Antonio Spurs","SAS","SA",1610612759,"san-antonio-spurs"
2019,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2018,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2017,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2016,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2015,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2014,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2013,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2012,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2011,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2010,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2009,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2008,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2007,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2006,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2005,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2004,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2003,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2002,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2001,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2000,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1999,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1998,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1997,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1996,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1995,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1994,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1993,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1992,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1991,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1990,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1989,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1988,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1987,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1986,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1985,"NBA","Sacramento Kings","SAC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1984,"NBA","Kansas City Kings","KCK","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1983,"NBA","Kansas City Kings","KCK","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1982,"NBA","Kansas City Kings","KCK","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1981,"NBA","Kansas City Kings","KCK","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1980,"NBA","Kansas City Kings","KCK","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1979,"NBA","Kansas City Kings","KCK","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1978,"NBA","Kansas City Kings","KCK","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1977,"NBA","Kansas City Kings","KCK","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1976,"NBA","Kansas City Kings","KCK","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1975,"NBA","Kansas City Kings","KCK","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1974,"NBA","Kansas City-Omaha Kings","KCO","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1973,"NBA","Kansas City-Omaha Kings","KCO","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1972,"NBA","Kansas City-Omaha Kings","KCO","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1971,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1970,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1969,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1968,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1967,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1966,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1965,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1964,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1963,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1962,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1961,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1960,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1959,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1958,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1957,"NBA","Cincinnati Royals","CIN","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1956,"NBA","Rochester Royals","ROC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1955,"NBA","Rochester Royals","ROC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1954,"NBA","Rochester Royals","ROC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1953,"NBA","Rochester Royals","ROC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1952,"NBA","Rochester Royals","ROC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1951,"NBA","Rochester Royals","ROC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1950,"NBA","Rochester Royals","ROC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1949,"NBA","Rochester Royals","ROC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
1948,"BAA","Rochester Royals","ROC","Sacramento Kings","SAC","SAC",1610612758,"sacramento-kings"
2019,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2018,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2017,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2016,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2015,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2014,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2013,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2012,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2011,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2010,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2009,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2008,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2007,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2006,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2005,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2004,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2003,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2002,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2001,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2000,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
1999,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
1998,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
1997,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
1996,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
1995,"NBA","Toronto Raptors","TOR","Toronto Raptors","TOR","TOR",1610612761,"toronto-raptors"
2019,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2018,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2017,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2016,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2015,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2014,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2013,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2012,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2011,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2010,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2009,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2008,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2007,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2006,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
2005,"NBA","Utah Jazz","UTA","Utah Jazz","UTA","UTAH",1610612762,"utah-jazz"
